id,name,kind,series,bgg_id,held,wanted,root_id,base_game,base_status,name_matches_base,base_note,subject,subject_rows,implied_product,implied_status,matched_by
60,Aeon's End: Outcasts,expansion,,299317,1,0,834,Aeon's End,PRESENT,yes,,,0,Aeon's End,PRESENT,834
70,Deep Rock Galactic: Space Rig Expansion,expansion,,401797,1,0,105,Deep Rock Galactic: The Board Game,PRESENT,yes,,,0,Deep Rock Galactic: The Board Game,PRESENT,105
71,Deep Rock Galactic: Biome Expansion,expansion,,401798,1,0,105,Deep Rock Galactic: The Board Game,PRESENT,yes,,,0,Deep Rock Galactic: The Board Game,PRESENT,105
72,Deep Rock Galactic: The Board Game – Goo From Above Miniature Expansion,expansion,,369083,1,0,105,Deep Rock Galactic: The Board Game,PRESENT,yes,,,0,Deep Rock Galactic: The Board Game,PRESENT,105
74,Scythe: Invaders from Afar,expansion,,199727,1,0,41,Scythe,PRESENT,yes,,,0,Scythe,PRESENT,41
75,Scythe: The Wind Gambit,expansion,,223555,1,0,41,Scythe,PRESENT,yes,,,0,Scythe,PRESENT,41
76,Scythe: The Rise of Fenris,expansion,,242277,1,0,41,Scythe,PRESENT,yes,,,0,Scythe,PRESENT,41
77,Catan: 5-6 Player Extension,expansion,Catan,2807,1,0,54,Catan,PRESENT,yes,,,0,Catan,PRESENT,54
79,Moon: Valkyrie Expansion,expansion,,382957,1,0,98,Moon,PRESENT,yes,,,0,Moon,PRESENT,98
80,Catan: Starfarers – 5-6 Player Extension,expansion,Catan,316229,1,0,78,CATAN: Starfarers,PRESENT,yes,,,0,CATAN: Starfarers,PRESENT,78
81,Catan: Cities & Knights,expansion,Catan,926,1,0,54,Catan,PRESENT,yes,,,0,Catan,PRESENT,54
82,Betrayal at House on the Hill: Widow's Walk,expansion,,198452,1,0,63,Betrayal at House on the Hill,PRESENT,yes,,,0,Betrayal at House on the Hill,PRESENT,63
84,Slay the Spire: The Board Game – Downfall,expansion,,454971,1,0,46,Slay the Spire: The Board Game,PRESENT,yes,,,0,Slay the Spire: The Board Game,PRESENT,46
90,Deep Rock Galactic: Rival Incursion,expansion,,450336,1,0,105,Deep Rock Galactic: The Board Game,PRESENT,yes,,,0,Deep Rock Galactic: The Board Game,PRESENT,105
106,The Binding of Isaac: Four Souls Requiem,expansion,,336844,1,0,108,The Binding of Isaac: Four Souls,PRESENT,yes,,,0,The Binding of Isaac: Four Souls,PRESENT,108
117,Excursion Tiles 1,accessory,Excursion Tiles,,1,0,117,Excursion Tiles 1,AMBIGUOUS,yes,"self-rooted: this accessory is its own root, so no base game is implied",,0,Excursion Tiles 1,AMBIGUOUS,
118,Excursion Tiles 2,accessory,Excursion Tiles,,1,0,118,Excursion Tiles 2,AMBIGUOUS,yes,"self-rooted: this accessory is its own root, so no base game is implied",,0,Excursion Tiles 2,AMBIGUOUS,
119,Cult of the Lamb: Multicolour Prophet and Bishop Miniatures,accessory,,,1,0,83,Cult of the Lamb: The Board Game,PRESENT,yes,,multicolour prophet and bishop,1,Cult of the Lamb: The Board Game — multicolour prophet and bishop,MISSING,
120,Cult of the Lamb: Lamb Shrine Dice Tower,accessory,,,1,0,83,Cult of the Lamb: The Board Game,PRESENT,yes,,lamb shrine,1,Cult of the Lamb: The Board Game — lamb shrine,MISSING,
121,Cult of the Lamb: Main Board Playmat,accessory,,,1,0,83,Cult of the Lamb: The Board Game,PRESENT,yes,,,0,Cult of the Lamb: The Board Game,PRESENT,83
