our_id	our_name	kind	owned	current_bgg_id	verdict	proposed_bgg_id	bgg_name	bgg_year	bgg_publisher	bgg_type	our_year	our_publisher	score	score_components	evidence_url	note	near_miss_rejected	sibling_risk
35	Dice Throne: Season Two – Battle Chest	base	yes	244271	CONFIRMED		Dice Throne: Season Two – Battle Chest	2018	Lucky Duck Games	boardgame	2018	Roxley	0.96	name exact (normalised); year exact (2018); publisher exact (Roxley); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/244271			
36	Veiled Fate	base	yes	315695	CONFIRMED		Veiled Fate	2022	IV Studio	boardgame	2022	IV Studio	0.96	name exact (normalised); year exact (2022); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/315695			
37	Indian Summer	base	yes	233678	CONFIRMED		Indian Summer	2017	Edition Spielwiese	boardgame	2017	Stronghold Games	0.96	name exact (normalised); year exact (2017); publisher exact (Stronghold Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/233678			
38	The Golden Ages	base	yes	164338	CONFIRMED		The Golden Ages	2014	Quined Games	boardgame	2014	Quined Games	0.96	name exact (normalised); year exact (2014); publisher exact (Quined Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/164338			
39	Space Sheep!	base	yes	141035	CONFIRMED		Space Sheep!	2013	Stronghold Games	boardgame	2013	Stronghold Games	0.96	name exact (normalised); year exact (2013); publisher exact (Stronghold Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/141035			
40	Super Camelot	base	yes	257445	CONFIRMED		Super Camelot	2019	Catalyst Game Labs	boardgame	2019	Catalyst Game Labs	0.96	name exact (normalised); year exact (2019); publisher exact (Catalyst Game Labs); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/257445			
41	Scythe	base	yes	169786	CONFIRMED		Scythe	2016	Stonemaier Games	boardgame	2016	Stonemaier Games	0.96	name exact (normalised); year exact (2016); publisher exact (Stonemaier Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/169786			
42	Ticket to Ride	base	yes	9209	CONFIRMED		Ticket to Ride	2004	Days of Wonder	boardgame	2004	Days of Wonder	0.96	name exact (normalised); year exact (2004); publisher exact (Days of Wonder); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/9209			
43	Dead of Winter	base	yes	150376	CONFIRMED		Dead of Winter: A Crossroads Game	2014	Plaid Hat Games	boardgame	2014	Plaid Hat Games	0.71	name similarity 0.75; year exact (2014); publisher exact (Plaid Hat Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/150376	title differs by a subtitle: BGG says "Dead of Winter: A Crossroads Game" (similarity 0.75)		
44	Ichor	base	yes	420915	CONFIRMED		Ichor	2025	Bitewing Games	boardgame	2025	Bitewing Games	0.96	name exact (normalised); year exact (2025); publisher exact (Bitewing Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/420915			
45	Iliad	base	yes	420914	CONFIRMED		Iliad	2025	Bitewing Games	boardgame	2025	Bitewing Games	0.96	name exact (normalised); year exact (2025); publisher exact (Bitewing Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/420914			
46	Slay the Spire: The Board Game	base	yes	338960	CONFIRMED		Slay the Spire: The Board Game	2024	Contention Games	boardgame	2024	Contention Games	0.96	name exact (normalised); year exact (2024); publisher exact (Contention Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/338960			
47	The Resistance	base	yes	41114	CONFIRMED		The Resistance	2009	Indie Boards & Cards	boardgame	2009	Indie Boards & Cards	0.96	name exact (normalised); year exact (2009); publisher exact (Indie Boards & Cards); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/41114			
48	Vikings	base	yes	27173	CONFIRMED		Vikings	2007	Hans im Glück	boardgame	2007	Rio Grande Games	0.96	name exact (normalised); year exact (2007); publisher exact (Rio Grande Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/27173			
49	Terraforming Mars	base	yes	167791	CONFIRMED		Terraforming Mars	2016	FryxGames	boardgame	2016	FryxGames	0.96	name exact (normalised); year exact (2016); publisher exact (FryxGames); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/167791			
50	CATAN: Starfarers Duel	base	yes	383481	CONFIRMED		Catan: Starfarers Duel	2023	Catan Studio	boardgame	2023	Catan Studio	0.96	name exact (normalised); year exact (2023); publisher exact (Catan Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/383481			
51	Rivals for Catan: Deluxe	base	yes	203219	CONFIRMED		Rivals for Catan: Deluxe	2016	Catan Studio	boardgame	2016	Catan Studio	0.96	name exact (normalised); year exact (2016); publisher exact (Catan Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/203219			
52	Catan: New Energies	base	yes	408727	CONFIRMED		Catan: New Energies	2024	Catan Studio	boardgame	2024	Catan Studio	0.96	name exact (normalised); year exact (2024); publisher exact (Catan Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/408727			
53	Fractured Sky	base	yes	370581	CONFIRMED		Fractured Sky	2024	IV Studio	boardgame	2024	IV Studio	0.96	name exact (normalised); year exact (2024); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/370581			
54	Catan	base	yes	13	CONFIRMED		Catan	1995	KOSMOS	boardgame	1995	Catan Studio	0.96	name exact (normalised); year exact (1995); publisher exact (Catan Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/13			
55	Brink	base	yes	415078	CONFIRMED		Brink	2025	IV Studio	boardgame	2025	IV Studio	0.96	name exact (normalised); year exact (2025); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/415078			
